"sb" "ft" "test" "value"
"1" "fBodyAcc-mean()-X" "LAYING" "-0.9390990524"
"1" "fBodyAcc-mean()-X" "SITTING" "-0.979641238723404"
"1" "fBodyAcc-mean()-X" "STANDING" "-0.995249932641509"
"1" "fBodyAcc-mean()-X" "WALKING" "-0.202794306326316"
"1" "fBodyAcc-mean()-X" "WALKING_DOWNSTAIRS" "0.0382291831510204"
"1" "fBodyAcc-mean()-X" "WALKING_UPSTAIRS" "-0.404321784150943"
"1" "fBodyAcc-mean()-Y" "LAYING" "-0.86706520518"
"1" "fBodyAcc-mean()-Y" "SITTING" "-0.944084550425532"
"1" "fBodyAcc-mean()-Y" "STANDING" "-0.977070847735849"
"1" "fBodyAcc-mean()-Y" "WALKING" "0.0897127264021053"
"1" "fBodyAcc-mean()-Y" "WALKING_DOWNSTAIRS" "0.00154990783591837"
"1" "fBodyAcc-mean()-Y" "WALKING_UPSTAIRS" "-0.190976720811321"
"1" "fBodyAcc-mean()-Z" "LAYING" "-0.8826668762"
"1" "fBodyAcc-mean()-Z" "SITTING" "-0.959184889148936"
"1" "fBodyAcc-mean()-Z" "STANDING" "-0.985297098679245"
"1" "fBodyAcc-mean()-Z" "WALKING" "-0.331560117789474"
"1" "fBodyAcc-mean()-Z" "WALKING_DOWNSTAIRS" "-0.225574471693878"
"1" "fBodyAcc-mean()-Z" "WALKING_UPSTAIRS" "-0.433349702075472"
"1" "fBodyAcc-meanFreq()-X" "LAYING" "-0.158792670508"
"1" "fBodyAcc-meanFreq()-X" "SITTING" "-0.0495135975489362"
"1" "fBodyAcc-meanFreq()-X" "STANDING" "0.0865153619088679"
"1" "fBodyAcc-meanFreq()-X" "WALKING" "-0.207548374494737"
"1" "fBodyAcc-meanFreq()-X" "WALKING_DOWNSTAIRS" "-0.307395198687755"
"1" "fBodyAcc-meanFreq()-X" "WALKING_UPSTAIRS" "-0.418735000377359"
"1" "fBodyAcc-meanFreq()-Y" "LAYING" "0.097534841586"
"1" "fBodyAcc-meanFreq()-Y" "SITTING" "0.0759460768510638"
"1" "fBodyAcc-meanFreq()-Y" "STANDING" "0.117478948718868"
"1" "fBodyAcc-meanFreq()-Y" "WALKING" "0.113093646103158"
"1" "fBodyAcc-meanFreq()-Y" "WALKING_DOWNSTAIRS" "0.0632200839346939"
"1" "fBodyAcc-meanFreq()-Y" "WALKING_UPSTAIRS" "-0.160697213516981"
"1" "fBodyAcc-meanFreq()-Z" "LAYING" "0.08943765522"
"1" "fBodyAcc-meanFreq()-Z" "SITTING" "0.238829870148936"
"1" "fBodyAcc-meanFreq()-Z" "STANDING" "0.244858585792453"
"1" "fBodyAcc-meanFreq()-Z" "WALKING" "0.0497265196172632"
"1" "fBodyAcc-meanFreq()-Z" "WALKING_DOWNSTAIRS" "0.294322700810612"
"1" "fBodyAcc-meanFreq()-Z" "WALKING_UPSTAIRS" "-0.520114793584906"
"1" "fBodyAcc-std()-X" "LAYING" "-0.9244374346"
"1" "fBodyAcc-std()-X" "SITTING" "-0.976412313191489"
"1" "fBodyAcc-std()-X" "STANDING" "-0.99602834509434"
"1" "fBodyAcc-std()-X" "WALKING" "-0.319134719578947"
